JobTitle,Total
Full-Stack Web Developer,2387
Desktop Software Developer,929
Back-End Web Developer,768
Student,708
Mobile Application Developer,631
Other,555
Manager of Developers or Team Leader,535
Enterprise Level Services,432
Front-End Web Developer,420
IT Staff / System Administrator,224
Embedded Application Developer,210
"Executive (VP of Eng, CTO, CIO, etc.)",195
I don't work in tech,160
Database Administrator,64
